population	n_pop	k_folded	count
afr	33480	1	156
afr	33480	2	50
afr	33480	3	20
afr	33480	4	15
afr	33480	5	7
afr	33480	6	7
afr	33480	7	3
afr	33480	8	7
afr	33480	9	5
afr	33480	10	3
afr	33480	11	2
afr	33480	12	3
afr	33480	13	0
afr	33480	14	0
afr	33480	15	2
afr	33480	16	3
afr	33480	17	1
afr	33480	18	1
afr	33480	19	1
afr	33480	20	1
afr	33480	21	0
afr	33480	22	1
afr	33480	23	1
afr	33480	24	0
afr	33480	25	0
afr	33480	26	0
afr	33480	27	0
afr	33480	28	0
afr	33480	29	0
afr	33480	30	0
afr	33480	31	1
afr	33480	32	0
afr	33480	33	0
afr	33480	34	1
afr	33480	35	0
afr	33480	36	0
afr	33480	37	1
afr	33480	38	0
afr	33480	39	0
afr	33480	40	0
afr	33480	41	1
afr	33480	42	0
afr	33480	43	0
afr	33480	44	0
afr	33480	45	0
afr	33480	46	0
afr	33480	47	0
afr	33480	48	1
afr	33480	49	0
afr	33480	50	0
afr	33480	51	0
afr	33480	52	0
afr	33480	53	0
afr	33480	54	0
afr	33480	55	0
afr	33480	56	0
afr	33480	57	0
afr	33480	58	0
afr	33480	59	0
afr	33480	60	1
afr	33480	61	1
afr	33480	62	0
afr	33480	63	0
afr	33480	64	0
afr	33480	65	0
afr	33480	66	0
afr	33480	67	0
afr	33480	68	0
afr	33480	69	0
afr	33480	70	1
afr	33480	71	1
afr	33480	72	0
afr	33480	73	0
afr	33480	74	0
afr	33480	75	0
afr	33480	76	1
afr	33480	77	0
afr	33480	78	0
afr	33480	79	0
afr	33480	80	0
afr	33480	81	0
afr	33480	82	0
afr	33480	83	0
afr	33480	84	2
afr	33480	85	0
afr	33480	86	0
afr	33480	87	0
afr	33480	88	0
afr	33480	89	0
afr	33480	90	0
afr	33480	91	0
afr	33480	92	0
afr	33480	93	0
afr	33480	94	1
afr	33480	95	0
afr	33480	96	0
afr	33480	97	0
afr	33480	98	1
afr	33480	99	0
afr	33480	100	0
afr	33480	101	0
afr	33480	102	0
afr	33480	103	0
afr	33480	104	0
afr	33480	105	0
afr	33480	106	0
afr	33480	107	0
afr	33480	108	0
afr	33480	109	1
afr	33480	110	0
afr	33480	111	0
afr	33480	112	0
afr	33480	113	0
afr	33480	114	0
afr	33480	115	0
afr	33480	116	1
afr	33480	117	0
afr	33480	118	0
afr	33480	119	0
afr	33480	120	0
afr	33480	121	0
afr	33480	122	0
afr	33480	123	0
afr	33480	124	0
afr	33480	125	0
afr	33480	126	0
afr	33480	127	0
afr	33480	128	0
afr	33480	129	0
afr	33480	130	0
afr	33480	131	0
afr	33480	132	0
afr	33480	133	0
afr	33480	134	0
afr	33480	135	0
afr	33480	136	0
afr	33480	137	0
afr	33480	138	0
afr	33480	139	0
afr	33480	140	0
afr	33480	141	0
afr	33480	142	0
afr	33480	143	0
afr	33480	144	1
afr	33480	145	0
afr	33480	146	0
afr	33480	147	0
afr	33480	148	0
afr	33480	149	0
afr	33480	150	0
afr	33480	151	0
afr	33480	152	0
afr	33480	153	0
afr	33480	154	0
afr	33480	155	0
afr	33480	156	0
afr	33480	157	0
afr	33480	158	0
afr	33480	159	0
afr	33480	160	0
afr	33480	161	0
afr	33480	162	0
afr	33480	163	0
afr	33480	164	0
afr	33480	165	0
afr	33480	166	0
afr	33480	167	0
afr	33480	168	0
afr	33480	169	0
afr	33480	170	0
afr	33480	171	0
afr	33480	172	0
afr	33480	173	0
afr	33480	174	0
afr	33480	175	0
afr	33480	176	0
afr	33480	177	0
afr	33480	178	0
afr	33480	179	0
afr	33480	180	0
afr	33480	181	0
afr	33480	182	0
afr	33480	183	0
afr	33480	184	0
afr	33480	185	0
afr	33480	186	0
afr	33480	187	0
afr	33480	188	0
afr	33480	189	0
afr	33480	190	0
afr	33480	191	0
afr	33480	192	0
afr	33480	193	0
afr	33480	194	0
afr	33480	195	0
afr	33480	196	0
afr	33480	197	0
afr	33480	198	0
afr	33480	199	0
afr	33480	200	0
afr	33480	201	0
afr	33480	202	0
afr	33480	203	0
afr	33480	204	0
afr	33480	205	0
afr	33480	206	0
afr	33480	207	0
afr	33480	208	0
afr	33480	209	0
afr	33480	210	0
afr	33480	211	0
afr	33480	212	0
afr	33480	213	0
afr	33480	214	0
afr	33480	215	0
afr	33480	216	0
afr	33480	217	0
afr	33480	218	0
afr	33480	219	0
