population	n_pop	k_folded	count
eas	39700	1	167
eas	39700	2	38
eas	39700	3	9
eas	39700	4	5
eas	39700	5	6
eas	39700	6	2
eas	39700	7	3
eas	39700	8	3
eas	39700	9	1
eas	39700	10	0
eas	39700	11	3
eas	39700	12	2
eas	39700	13	3
eas	39700	14	2
eas	39700	15	1
eas	39700	16	0
eas	39700	17	0
eas	39700	18	1
eas	39700	19	0
eas	39700	20	0
eas	39700	21	1
eas	39700	22	0
eas	39700	23	2
eas	39700	24	1
eas	39700	25	0
eas	39700	26	0
eas	39700	27	1
eas	39700	28	0
eas	39700	29	0
eas	39700	30	1
eas	39700	31	0
eas	39700	32	0
eas	39700	33	0
eas	39700	34	1
eas	39700	35	1
eas	39700	36	1
eas	39700	37	1
eas	39700	38	0
eas	39700	39	0
eas	39700	40	0
eas	39700	41	0
eas	39700	42	0
eas	39700	43	0
eas	39700	44	0
eas	39700	45	0
eas	39700	46	0
eas	39700	47	0
eas	39700	48	0
eas	39700	49	1
eas	39700	50	0
eas	39700	51	0
eas	39700	52	0
eas	39700	53	1
eas	39700	54	0
eas	39700	55	0
eas	39700	56	0
eas	39700	57	0
eas	39700	58	0
eas	39700	59	0
eas	39700	60	0
eas	39700	61	0
eas	39700	62	0
eas	39700	63	0
eas	39700	64	0
eas	39700	65	0
eas	39700	66	2
eas	39700	67	0
eas	39700	68	0
eas	39700	69	0
eas	39700	70	0
eas	39700	71	0
eas	39700	72	0
eas	39700	73	1
eas	39700	74	0
eas	39700	75	0
eas	39700	76	0
eas	39700	77	0
eas	39700	78	0
eas	39700	79	0
eas	39700	80	0
eas	39700	81	0
eas	39700	82	0
eas	39700	83	1
eas	39700	84	0
eas	39700	85	0
eas	39700	86	0
eas	39700	87	0
eas	39700	88	0
eas	39700	89	0
eas	39700	90	0
eas	39700	91	1
eas	39700	92	0
eas	39700	93	0
eas	39700	94	0
eas	39700	95	0
eas	39700	96	0
eas	39700	97	0
eas	39700	98	0
eas	39700	99	0
eas	39700	100	0
eas	39700	101	0
eas	39700	102	0
eas	39700	103	0
eas	39700	104	1
eas	39700	105	0
eas	39700	106	0
eas	39700	107	0
eas	39700	108	0
eas	39700	109	0
eas	39700	110	0
eas	39700	111	0
eas	39700	112	0
eas	39700	113	0
eas	39700	114	0
eas	39700	115	0
eas	39700	116	0
eas	39700	117	0
eas	39700	118	0
eas	39700	119	0
eas	39700	120	0
eas	39700	121	0
eas	39700	122	0
eas	39700	123	0
eas	39700	124	0
eas	39700	125	0
eas	39700	126	0
eas	39700	127	0
eas	39700	128	0
eas	39700	129	0
eas	39700	130	0
eas	39700	131	0
eas	39700	132	0
eas	39700	133	0
eas	39700	134	0
eas	39700	135	0
eas	39700	136	1
eas	39700	137	0
eas	39700	138	0
eas	39700	139	0
eas	39700	140	0
eas	39700	141	0
eas	39700	142	0
eas	39700	143	0
eas	39700	144	0
eas	39700	145	0
eas	39700	146	0
eas	39700	147	0
eas	39700	148	0
eas	39700	149	0
eas	39700	150	1
eas	39700	151	0
eas	39700	152	0
eas	39700	153	0
eas	39700	154	0
eas	39700	155	0
eas	39700	156	0
eas	39700	157	0
eas	39700	158	0
eas	39700	159	0
eas	39700	160	0
eas	39700	161	0
eas	39700	162	0
eas	39700	163	0
eas	39700	164	0
eas	39700	165	0
eas	39700	166	0
eas	39700	167	0
eas	39700	168	0
eas	39700	169	0
eas	39700	170	0
eas	39700	171	0
eas	39700	172	0
eas	39700	173	0
eas	39700	174	0
eas	39700	175	0
eas	39700	176	0
eas	39700	177	0
eas	39700	178	0
eas	39700	179	0
eas	39700	180	0
eas	39700	181	0
eas	39700	182	0
eas	39700	183	0
eas	39700	184	0
eas	39700	185	0
eas	39700	186	0
eas	39700	187	0
eas	39700	188	0
eas	39700	189	0
eas	39700	190	0
eas	39700	191	0
eas	39700	192	0
eas	39700	193	0
eas	39700	194	0
eas	39700	195	0
eas	39700	196	0
eas	39700	197	0
eas	39700	198	0
eas	39700	199	0
eas	39700	200	0
eas	39700	201	0
eas	39700	202	0
eas	39700	203	0
eas	39700	204	0
eas	39700	205	0
eas	39700	206	0
eas	39700	207	0
eas	39700	208	0
eas	39700	209	0
eas	39700	210	0
eas	39700	211	0
eas	39700	212	0
eas	39700	213	0
eas	39700	214	0
eas	39700	215	0
eas	39700	216	0
eas	39700	217	0
eas	39700	218	0
eas	39700	219	0
eas	39700	220	0
eas	39700	221	0
eas	39700	222	0
eas	39700	223	0
eas	39700	224	0
eas	39700	225	0
eas	39700	226	0
eas	39700	227	0
eas	39700	228	0
eas	39700	229	0
eas	39700	230	0
eas	39700	231	0
eas	39700	232	0
eas	39700	233	0
eas	39700	234	0
eas	39700	235	0
eas	39700	236	0
eas	39700	237	0
eas	39700	238	0
eas	39700	239	0
eas	39700	240	0
eas	39700	241	0
eas	39700	242	0
eas	39700	243	0
eas	39700	244	0
eas	39700	245	0
eas	39700	246	0
eas	39700	247	0
eas	39700	248	0
eas	39700	249	0
eas	39700	250	0
eas	39700	251	0
eas	39700	252	0
eas	39700	253	0
eas	39700	254	0
eas	39700	255	0
eas	39700	256	0
eas	39700	257	0
eas	39700	258	0
eas	39700	259	0
eas	39700	260	0
eas	39700	261	0
eas	39700	262	0
eas	39700	263	0
eas	39700	264	0
eas	39700	265	0
eas	39700	266	0
eas	39700	267	0
eas	39700	268	0
eas	39700	269	0
eas	39700	270	0
eas	39700	271	0
eas	39700	272	0
eas	39700	273	0
eas	39700	274	0
eas	39700	275	0
eas	39700	276	0
eas	39700	277	0
eas	39700	278	0
eas	39700	279	0
eas	39700	280	0
eas	39700	281	0
eas	39700	282	0
eas	39700	283	0
eas	39700	284	0
eas	39700	285	0
eas	39700	286	0
eas	39700	287	0
eas	39700	288	0
eas	39700	289	0
eas	39700	290	0
eas	39700	291	0
eas	39700	292	0
eas	39700	293	0
eas	39700	294	0
eas	39700	295	0
eas	39700	296	0
eas	39700	297	0
eas	39700	298	0
eas	39700	299	0
eas	39700	300	0
eas	39700	301	0
eas	39700	302	0
eas	39700	303	0
eas	39700	304	0
eas	39700	305	0
eas	39700	306	0
eas	39700	307	0
eas	39700	308	0
eas	39700	309	1
eas	39700	310	0
eas	39700	311	0
eas	39700	312	0
eas	39700	313	0
eas	39700	314	0
eas	39700	315	0
eas	39700	316	0
eas	39700	317	0
eas	39700	318	0
eas	39700	319	0
eas	39700	320	0
eas	39700	321	0
eas	39700	322	0
eas	39700	323	0
eas	39700	324	0
eas	39700	325	0
eas	39700	326	0
eas	39700	327	0
eas	39700	328	0
eas	39700	329	0
eas	39700	330	0
eas	39700	331	0
eas	39700	332	0
eas	39700	333	0
eas	39700	334	0
eas	39700	335	0
eas	39700	336	0
eas	39700	337	0
eas	39700	338	0
eas	39700	339	0
eas	39700	340	0
eas	39700	341	0
eas	39700	342	0
eas	39700	343	0
eas	39700	344	0
eas	39700	345	0
eas	39700	346	0
eas	39700	347	0
eas	39700	348	0
eas	39700	349	0
eas	39700	350	0
eas	39700	351	0
eas	39700	352	0
eas	39700	353	0
eas	39700	354	0
eas	39700	355	0
eas	39700	356	0
eas	39700	357	0
eas	39700	358	0
eas	39700	359	0
eas	39700	360	0
eas	39700	361	0
eas	39700	362	0
eas	39700	363	0
eas	39700	364	0
eas	39700	365	0
eas	39700	366	0
eas	39700	367	0
eas	39700	368	0
eas	39700	369	0
eas	39700	370	0
eas	39700	371	0
eas	39700	372	0
eas	39700	373	0
eas	39700	374	0
eas	39700	375	0
eas	39700	376	0
eas	39700	377	0
eas	39700	378	0
eas	39700	379	0
eas	39700	380	0
eas	39700	381	0
eas	39700	382	0
eas	39700	383	0
eas	39700	384	0
eas	39700	385	0
eas	39700	386	0
eas	39700	387	0
eas	39700	388	0
eas	39700	389	0
eas	39700	390	0
eas	39700	391	0
eas	39700	392	0
eas	39700	393	0
eas	39700	394	0
eas	39700	395	0
eas	39700	396	0
eas	39700	397	0
eas	39700	398	0
eas	39700	399	0
eas	39700	400	0
eas	39700	401	0
eas	39700	402	0
eas	39700	403	0
eas	39700	404	0
eas	39700	405	0
eas	39700	406	0
eas	39700	407	0
eas	39700	408	0
eas	39700	409	0
eas	39700	410	0
eas	39700	411	0
eas	39700	412	0
eas	39700	413	0
eas	39700	414	0
eas	39700	415	0
eas	39700	416	0
eas	39700	417	0
eas	39700	418	0
eas	39700	419	0
eas	39700	420	0
eas	39700	421	0
eas	39700	422	0
eas	39700	423	0
eas	39700	424	0
eas	39700	425	0
eas	39700	426	0
eas	39700	427	0
eas	39700	428	0
eas	39700	429	0
eas	39700	430	0
eas	39700	431	0
eas	39700	432	0
eas	39700	433	0
eas	39700	434	0
eas	39700	435	0
eas	39700	436	0
eas	39700	437	0
eas	39700	438	0
eas	39700	439	0
eas	39700	440	0
eas	39700	441	0
eas	39700	442	0
eas	39700	443	0
eas	39700	444	0
eas	39700	445	0
eas	39700	446	0
eas	39700	447	0
eas	39700	448	0
eas	39700	449	0
eas	39700	450	0
eas	39700	451	0
eas	39700	452	0
eas	39700	453	0
eas	39700	454	0
eas	39700	455	0
eas	39700	456	0
eas	39700	457	0
eas	39700	458	0
eas	39700	459	0
eas	39700	460	1
eas	39700	461	0
eas	39700	462	0
eas	39700	463	0
eas	39700	464	0
eas	39700	465	0
eas	39700	466	0
eas	39700	467	0
eas	39700	468	0
eas	39700	469	0
eas	39700	470	0
eas	39700	471	0
eas	39700	472	0
eas	39700	473	0
eas	39700	474	0
eas	39700	475	0
eas	39700	476	0
eas	39700	477	0
eas	39700	478	0
eas	39700	479	0
eas	39700	480	0
eas	39700	481	0
eas	39700	482	0
eas	39700	483	0
eas	39700	484	0
eas	39700	485	0
eas	39700	486	0
eas	39700	487	0
eas	39700	488	0
eas	39700	489	0
eas	39700	490	0
eas	39700	491	0
eas	39700	492	0
eas	39700	493	0
eas	39700	494	0
eas	39700	495	0
eas	39700	496	0
eas	39700	497	0
eas	39700	498	0
eas	39700	499	0
eas	39700	500	0
eas	39700	501	0
eas	39700	502	0
eas	39700	503	0
eas	39700	504	0
eas	39700	505	0
eas	39700	506	0
eas	39700	507	0
eas	39700	508	0
eas	39700	509	0
eas	39700	510	0
eas	39700	511	0
eas	39700	512	0
eas	39700	513	0
eas	39700	514	0
eas	39700	515	0
eas	39700	516	0
eas	39700	517	0
eas	39700	518	0
eas	39700	519	0
eas	39700	520	0
eas	39700	521	0
eas	39700	522	0
eas	39700	523	0
eas	39700	524	0
eas	39700	525	0
eas	39700	526	0
eas	39700	527	0
eas	39700	528	0
eas	39700	529	0
eas	39700	530	0
eas	39700	531	0
eas	39700	532	0
eas	39700	533	0
eas	39700	534	0
eas	39700	535	0
eas	39700	536	0
eas	39700	537	0
eas	39700	538	0
eas	39700	539	0
eas	39700	540	0
eas	39700	541	0
eas	39700	542	0
eas	39700	543	0
eas	39700	544	0
eas	39700	545	0
eas	39700	546	0
eas	39700	547	0
eas	39700	548	0
eas	39700	549	0
eas	39700	550	0
eas	39700	551	0
eas	39700	552	0
eas	39700	553	0
eas	39700	554	0
eas	39700	555	0
eas	39700	556	0
eas	39700	557	0
eas	39700	558	0
eas	39700	559	0
eas	39700	560	0
eas	39700	561	0
eas	39700	562	0
eas	39700	563	0
eas	39700	564	0
eas	39700	565	0
eas	39700	566	0
eas	39700	567	0
eas	39700	568	0
eas	39700	569	0
eas	39700	570	0
eas	39700	571	0
eas	39700	572	0
eas	39700	573	0
eas	39700	574	0
eas	39700	575	0
eas	39700	576	0
eas	39700	577	0
eas	39700	578	0
eas	39700	579	0
eas	39700	580	0
eas	39700	581	0
eas	39700	582	0
eas	39700	583	0
eas	39700	584	0
eas	39700	585	0
eas	39700	586	0
eas	39700	587	0
eas	39700	588	0
eas	39700	589	0
eas	39700	590	0
eas	39700	591	0
eas	39700	592	0
eas	39700	593	0
eas	39700	594	0
eas	39700	595	0
eas	39700	596	0
eas	39700	597	0
eas	39700	598	0
eas	39700	599	0
eas	39700	600	0
eas	39700	601	0
eas	39700	602	0
eas	39700	603	0
eas	39700	604	0
eas	39700	605	0
eas	39700	606	0
eas	39700	607	0
eas	39700	608	0
eas	39700	609	0
eas	39700	610	0
eas	39700	611	0
eas	39700	612	0
eas	39700	613	0
eas	39700	614	0
eas	39700	615	0
eas	39700	616	0
eas	39700	617	0
eas	39700	618	0
eas	39700	619	0
eas	39700	620	0
eas	39700	621	0
eas	39700	622	0
eas	39700	623	0
eas	39700	624	0
eas	39700	625	0
eas	39700	626	0
eas	39700	627	0
eas	39700	628	0
eas	39700	629	0
eas	39700	630	0
eas	39700	631	0
eas	39700	632	0
eas	39700	633	0
eas	39700	634	0
eas	39700	635	0
eas	39700	636	0
eas	39700	637	0
eas	39700	638	0
eas	39700	639	0
eas	39700	640	0
eas	39700	641	0
eas	39700	642	0
eas	39700	643	0
eas	39700	644	0
eas	39700	645	0
eas	39700	646	0
eas	39700	647	0
eas	39700	648	0
eas	39700	649	0
eas	39700	650	0
eas	39700	651	0
eas	39700	652	0
eas	39700	653	0
eas	39700	654	0
eas	39700	655	0
eas	39700	656	0
eas	39700	657	0
eas	39700	658	0
eas	39700	659	0
eas	39700	660	0
eas	39700	661	0
eas	39700	662	0
eas	39700	663	0
eas	39700	664	0
eas	39700	665	0
eas	39700	666	0
eas	39700	667	0
eas	39700	668	0
eas	39700	669	0
eas	39700	670	0
eas	39700	671	0
eas	39700	672	0
eas	39700	673	0
eas	39700	674	0
eas	39700	675	0
eas	39700	676	0
eas	39700	677	0
eas	39700	678	0
eas	39700	679	0
eas	39700	680	0
eas	39700	681	0
eas	39700	682	0
eas	39700	683	0
eas	39700	684	0
eas	39700	685	0
eas	39700	686	0
eas	39700	687	0
eas	39700	688	0
eas	39700	689	0
eas	39700	690	0
eas	39700	691	0
eas	39700	692	0
eas	39700	693	0
eas	39700	694	0
eas	39700	695	0
eas	39700	696	0
eas	39700	697	1
eas	39700	698	0
eas	39700	699	0
eas	39700	700	0
eas	39700	701	0
eas	39700	702	0
eas	39700	703	0
eas	39700	704	0
eas	39700	705	0
eas	39700	706	0
eas	39700	707	0
eas	39700	708	0
eas	39700	709	0
eas	39700	710	0
eas	39700	711	0
eas	39700	712	0
eas	39700	713	0
eas	39700	714	0
eas	39700	715	0
eas	39700	716	0
eas	39700	717	0
eas	39700	718	0
eas	39700	719	0
eas	39700	720	0
eas	39700	721	0
eas	39700	722	0
eas	39700	723	0
eas	39700	724	0
eas	39700	725	0
eas	39700	726	0
eas	39700	727	0
eas	39700	728	0
eas	39700	729	0
eas	39700	730	0
eas	39700	731	0
eas	39700	732	0
eas	39700	733	0
eas	39700	734	0
eas	39700	735	0
eas	39700	736	0
eas	39700	737	0
eas	39700	738	0
eas	39700	739	0
eas	39700	740	0
eas	39700	741	0
eas	39700	742	0
eas	39700	743	0
eas	39700	744	0
eas	39700	745	0
eas	39700	746	0
eas	39700	747	0
eas	39700	748	0
eas	39700	749	0
eas	39700	750	0
eas	39700	751	0
eas	39700	752	0
eas	39700	753	0
eas	39700	754	0
eas	39700	755	0
eas	39700	756	0
eas	39700	757	0
eas	39700	758	0
eas	39700	759	0
eas	39700	760	0
eas	39700	761	0
eas	39700	762	0
eas	39700	763	0
eas	39700	764	0
eas	39700	765	0
eas	39700	766	0
eas	39700	767	0
eas	39700	768	0
eas	39700	769	0
eas	39700	770	0
eas	39700	771	0
eas	39700	772	0
eas	39700	773	0
eas	39700	774	0
eas	39700	775	0
eas	39700	776	0
eas	39700	777	0
eas	39700	778	0
eas	39700	779	0
eas	39700	780	0
eas	39700	781	0
eas	39700	782	0
eas	39700	783	0
eas	39700	784	0
eas	39700	785	0
eas	39700	786	0
eas	39700	787	0
eas	39700	788	0
eas	39700	789	0
eas	39700	790	0
eas	39700	791	0
eas	39700	792	0
eas	39700	793	0
eas	39700	794	0
eas	39700	795	0
eas	39700	796	0
eas	39700	797	0
eas	39700	798	0
eas	39700	799	0
eas	39700	800	0
eas	39700	801	0
eas	39700	802	0
eas	39700	803	0
eas	39700	804	0
eas	39700	805	0
eas	39700	806	0
eas	39700	807	0
eas	39700	808	0
eas	39700	809	0
eas	39700	810	0
eas	39700	811	0
eas	39700	812	0
eas	39700	813	0
eas	39700	814	0
eas	39700	815	0
eas	39700	816	0
eas	39700	817	0
eas	39700	818	0
eas	39700	819	0
eas	39700	820	0
eas	39700	821	0
eas	39700	822	0
eas	39700	823	0
eas	39700	824	0
eas	39700	825	0
eas	39700	826	0
eas	39700	827	0
eas	39700	828	0
eas	39700	829	0
eas	39700	830	0
eas	39700	831	0
eas	39700	832	0
eas	39700	833	0
eas	39700	834	0
eas	39700	835	0
eas	39700	836	0
eas	39700	837	0
eas	39700	838	0
eas	39700	839	0
eas	39700	840	0
eas	39700	841	0
eas	39700	842	0
eas	39700	843	0
eas	39700	844	0
eas	39700	845	0
eas	39700	846	0
eas	39700	847	0
eas	39700	848	0
eas	39700	849	0
eas	39700	850	0
eas	39700	851	0
eas	39700	852	0
eas	39700	853	0
eas	39700	854	0
eas	39700	855	0
eas	39700	856	0
eas	39700	857	0
eas	39700	858	0
eas	39700	859	0
eas	39700	860	0
eas	39700	861	0
eas	39700	862	0
eas	39700	863	0
eas	39700	864	0
eas	39700	865	0
eas	39700	866	0
eas	39700	867	0
eas	39700	868	0
eas	39700	869	0
eas	39700	870	0
eas	39700	871	0
eas	39700	872	0
eas	39700	873	0
eas	39700	874	0
eas	39700	875	0
eas	39700	876	0
eas	39700	877	0
eas	39700	878	0
eas	39700	879	0
eas	39700	880	0
eas	39700	881	0
eas	39700	882	0
eas	39700	883	0
eas	39700	884	0
eas	39700	885	0
eas	39700	886	0
eas	39700	887	0
eas	39700	888	0
eas	39700	889	0
eas	39700	890	0
eas	39700	891	0
eas	39700	892	0
eas	39700	893	0
eas	39700	894	0
eas	39700	895	0
eas	39700	896	0
eas	39700	897	0
eas	39700	898	0
eas	39700	899	0
eas	39700	900	0
eas	39700	901	0
eas	39700	902	0
eas	39700	903	0
eas	39700	904	0
eas	39700	905	0
eas	39700	906	0
eas	39700	907	0
eas	39700	908	0
eas	39700	909	0
eas	39700	910	0
eas	39700	911	0
eas	39700	912	0
eas	39700	913	0
eas	39700	914	0
eas	39700	915	0
eas	39700	916	0
eas	39700	917	0
eas	39700	918	0
eas	39700	919	0
eas	39700	920	0
eas	39700	921	0
eas	39700	922	0
eas	39700	923	0
eas	39700	924	0
eas	39700	925	0
eas	39700	926	0
eas	39700	927	0
eas	39700	928	0
eas	39700	929	0
eas	39700	930	0
eas	39700	931	0
eas	39700	932	0
eas	39700	933	0
eas	39700	934	0
eas	39700	935	0
eas	39700	936	0
eas	39700	937	0
eas	39700	938	0
eas	39700	939	0
eas	39700	940	0
eas	39700	941	0
eas	39700	942	0
eas	39700	943	0
eas	39700	944	0
eas	39700	945	0
eas	39700	946	0
eas	39700	947	0
eas	39700	948	0
eas	39700	949	0
eas	39700	950	0
eas	39700	951	0
eas	39700	952	0
eas	39700	953	0
eas	39700	954	0
eas	39700	955	0
eas	39700	956	0
eas	39700	957	0
eas	39700	958	0
eas	39700	959	0
eas	39700	960	0
eas	39700	961	0
eas	39700	962	0
eas	39700	963	0
eas	39700	964	0
eas	39700	965	0
eas	39700	966	0
eas	39700	967	0
eas	39700	968	0
eas	39700	969	0
eas	39700	970	0
eas	39700	971	0
eas	39700	972	0
eas	39700	973	0
eas	39700	974	0
eas	39700	975	0
eas	39700	976	0
eas	39700	977	0
eas	39700	978	0
eas	39700	979	0
eas	39700	980	0
eas	39700	981	0
eas	39700	982	0
eas	39700	983	0
eas	39700	984	0
eas	39700	985	0
eas	39700	986	0
eas	39700	987	0
eas	39700	988	0
eas	39700	989	0
eas	39700	990	0
eas	39700	991	0
eas	39700	992	0
eas	39700	993	0
eas	39700	994	0
eas	39700	995	0
eas	39700	996	1
eas	39700	997	0
eas	39700	998	0
eas	39700	999	0
eas	39700	1000	0
eas	39700	1001	0
eas	39700	1002	0
eas	39700	1003	0
eas	39700	1004	0
eas	39700	1005	0
eas	39700	1006	0
eas	39700	1007	0
eas	39700	1008	0
eas	39700	1009	0
eas	39700	1010	0
eas	39700	1011	0
eas	39700	1012	0
eas	39700	1013	0
eas	39700	1014	0
eas	39700	1015	0
eas	39700	1016	0
eas	39700	1017	0
eas	39700	1018	0
eas	39700	1019	0
eas	39700	1020	0
eas	39700	1021	0
eas	39700	1022	0
eas	39700	1023	0
eas	39700	1024	0
eas	39700	1025	0
eas	39700	1026	0
eas	39700	1027	0
eas	39700	1028	0
eas	39700	1029	0
eas	39700	1030	0
eas	39700	1031	0
eas	39700	1032	0
eas	39700	1033	0
eas	39700	1034	0
eas	39700	1035	0
eas	39700	1036	0
eas	39700	1037	0
eas	39700	1038	0
eas	39700	1039	0
eas	39700	1040	0
eas	39700	1041	0
eas	39700	1042	0
eas	39700	1043	0
eas	39700	1044	0
eas	39700	1045	0
eas	39700	1046	0
eas	39700	1047	0
eas	39700	1048	0
eas	39700	1049	0
eas	39700	1050	0
eas	39700	1051	0
eas	39700	1052	0
eas	39700	1053	0
eas	39700	1054	0
eas	39700	1055	0
eas	39700	1056	0
eas	39700	1057	0
eas	39700	1058	0
eas	39700	1059	0
eas	39700	1060	0
eas	39700	1061	0
eas	39700	1062	0
eas	39700	1063	0
eas	39700	1064	0
eas	39700	1065	0
eas	39700	1066	0
eas	39700	1067	0
eas	39700	1068	0
eas	39700	1069	0
eas	39700	1070	0
eas	39700	1071	0
eas	39700	1072	0
eas	39700	1073	0
eas	39700	1074	0
eas	39700	1075	0
eas	39700	1076	0
eas	39700	1077	0
eas	39700	1078	0
eas	39700	1079	0
eas	39700	1080	0
eas	39700	1081	0
eas	39700	1082	0
eas	39700	1083	0
eas	39700	1084	0
eas	39700	1085	0
eas	39700	1086	0
eas	39700	1087	0
eas	39700	1088	0
eas	39700	1089	0
eas	39700	1090	0
eas	39700	1091	0
eas	39700	1092	0
eas	39700	1093	0
eas	39700	1094	0
eas	39700	1095	0
eas	39700	1096	0
eas	39700	1097	0
eas	39700	1098	0
eas	39700	1099	0
eas	39700	1100	0
eas	39700	1101	0
eas	39700	1102	0
eas	39700	1103	0
eas	39700	1104	0
eas	39700	1105	0
eas	39700	1106	0
eas	39700	1107	0
eas	39700	1108	0
eas	39700	1109	0
eas	39700	1110	0
eas	39700	1111	0
eas	39700	1112	0
eas	39700	1113	0
eas	39700	1114	0
eas	39700	1115	0
eas	39700	1116	0
eas	39700	1117	0
eas	39700	1118	0
eas	39700	1119	0
eas	39700	1120	0
eas	39700	1121	0
eas	39700	1122	0
eas	39700	1123	0
eas	39700	1124	0
eas	39700	1125	0
eas	39700	1126	0
eas	39700	1127	0
eas	39700	1128	0
eas	39700	1129	0
eas	39700	1130	0
eas	39700	1131	0
eas	39700	1132	0
eas	39700	1133	0
eas	39700	1134	0
eas	39700	1135	0
eas	39700	1136	0
eas	39700	1137	0
eas	39700	1138	0
eas	39700	1139	0
eas	39700	1140	0
eas	39700	1141	0
eas	39700	1142	0
eas	39700	1143	0
eas	39700	1144	0
eas	39700	1145	0
eas	39700	1146	0
eas	39700	1147	0
eas	39700	1148	0
eas	39700	1149	0
eas	39700	1150	0
eas	39700	1151	0
eas	39700	1152	0
eas	39700	1153	0
eas	39700	1154	0
eas	39700	1155	0
eas	39700	1156	0
eas	39700	1157	0
